id,order_id,user_id,action_type,old_value,new_value,description,changes,created_at,updated_at
118,6,1,updated,,,"订单更新: truck_pallets, quote_reference, quote_ref_10, quote_ref_20, quote_ref_30","{""truck_pallets"":{""old"":26,""new"":""18""},""quote_reference"":{""old"":""1638.46"",""new"":2322.222222222222},""quote_ref_10"":{""old"":""1802.31"",""new"":2554.444444444445},""quote_ref_20"":{""old"":""1966.15"",""new"":2786.6666666666665},""quote_ref_30"":{""old"":""2130.00"",""new"":3018.888888888889}}",2025-10-25 19:47:45.715072+00,2025-10-25 19:47:45.715072+00
119,6,1,updated,,,"订单更新: truck_pallets, quote_reference, quote_ref_10, quote_ref_20, quote_ref_30","{""truck_pallets"":{""old"":18,""new"":""26""},""quote_reference"":{""old"":""2322.22"",""new"":1638.4615384615386},""quote_ref_10"":{""old"":""2554.44"",""new"":1802.3076923076926},""quote_ref_20"":{""old"":""2786.67"",""new"":1966.1538461538462},""quote_ref_30"":{""old"":""3018.89"",""new"":2130}}",2025-10-25 19:48:09.338243+00,2025-10-25 19:48:09.338243+00
120,20,1,created,,,订单创建: EW000015,,2025-10-25 20:45:02.470153+00,2025-10-25 20:45:02.470153+00
121,21,1,created,,,订单创建: EW16,,2025-10-25 20:54:00.849995+00,2025-10-25 20:54:00.849995+00
122,19,1,updated,,,订单更新: inquiry_company,"{""inquiry_company"":{""old"":"""",""new"":""EW-test""}}",2025-10-25 21:13:08.231741+00,2025-10-25 21:13:08.231741+00
123,19,1,updated,,,订单更新: destination_address,"{""destination_address"":{""old"":""969 Harcot Ct, San Jose California San Jose California 95133 "",""new"":""969 Harcot Ct, San Jose California 95133 ""}}",2025-10-25 21:23:31.485322+00,2025-10-25 21:23:31.485322+00
124,16,1,status_changed,waiting_driver,sent_to_3pl,子状态变更：waiting_driver → sent_to_3pl,,2025-10-25 21:29:57.937075+00,2025-10-25 21:29:57.937075+00
125,16,1,status_changed,sent_to_3pl,waiting_driver,子状态变更：sent_to_3pl → waiting_driver,,2025-10-25 21:30:03.69242+00,2025-10-25 21:30:03.69242+00
126,16,1,status_changed,waiting_driver,sent_to_3pl,子状态变更：waiting_driver → sent_to_3pl,,2025-10-25 21:30:09.979489+00,2025-10-25 21:30:09.979489+00
127,6,1,updated,,,订单更新: ew_quote_price,"{""ew_quote_price"":{""old"":null,""new"":""300""}}",2025-10-25 21:50:47.826271+00,2025-10-25 21:50:47.826271+00
128,19,1,updated,,,订单更新: shipment_number,"{""shipment_number"":{""old"":null,""new"":""9999999""}}",2025-10-25 21:52:48.63712+00,2025-10-25 21:52:48.63712+00
129,19,1,updated,,,订单更新: cargo_type,"{""cargo_type"":{""old"":null,""new"":""测试一下，这是备注，告诉你货物类型""}}",2025-10-25 21:53:11.391083+00,2025-10-25 21:53:11.391083+00
130,19,1,updated,,,订单更新: cargo_type,"{""cargo_type"":{""old"":""测试一下，这是备注，告诉你货物类型"",""new"":""测试一下，这是备注，告诉你货物类型，测试一下，这是备注，告诉你货物类型，测试一下，这是备注，告诉你货物类型""}}",2025-10-25 21:53:19.160822+00,2025-10-25 21:53:19.160822+00
131,19,1,updated,,,订单更新: ew_quote_price,"{""ew_quote_price"":{""old"":null,""new"":""500""}}",2025-10-25 21:54:20.947596+00,2025-10-25 21:54:20.947596+00
132,19,1,updated,,,订单更新: cargo_type,"{""cargo_type"":{""old"":""测试一下，这是备注，告诉你货物类型，测试一下，这是备注，告诉你货物类型，测试一下，这是备注，告诉你货物类型"",""new"":""""}}",2025-10-25 21:55:26.576665+00,2025-10-25 21:55:26.576665+00
133,19,1,updated,,,订单更新: cargo_type,"{""cargo_type"":{""old"":"""",""new"":""Test it, this is a note, tell you the type of goods""}}",2025-10-25 21:55:55.626163+00,2025-10-25 21:55:55.626163+00
134,17,1,status_changed,waiting_driver,driver_found,子状态变更：waiting_driver → driver_found,,2025-11-01 18:38:24.778513+00,2025-11-01 18:38:24.778513+00
135,17,1,status_changed,driver_found,sent_to_3pl,子状态变更：driver_found → sent_to_3pl,,2025-11-01 18:38:27.261256+00,2025-11-01 18:38:27.261256+00
136,22,28,created,,,订单创建: EW17,,2025-11-18 20:23:40.489949+00,2025-11-18 20:23:40.489949+00
